Bandit,Reward,Algorithm
1.0,2.7227226555500024,EpsilonGreedy
1.0,1.3969844449065043,EpsilonGreedy
1.0,1.3569959099367739,EpsilonGreedy
1.0,1.3772753919707732,EpsilonGreedy
1.0,0.8336435254940959,EpsilonGreedy
1.0,-0.0857833256029048,EpsilonGreedy
1.0,2.784064828848927,EpsilonGreedy
1.0,1.9542192995447114,EpsilonGreedy
1.0,4.245426084886378,EpsilonGreedy
1.0,1.7814115792380905,EpsilonGreedy
1.0,3.635482224888322,EpsilonGreedy
1.0,0.7670126334989638,EpsilonGreedy
1.0,0.8802172788965215,EpsilonGreedy
1.0,1.1558726126825924,EpsilonGreedy
1.0,1.2903885615602684,EpsilonGreedy
0.0,-0.17579437747591475,EpsilonGreedy
1.0,1.4799716260417595,EpsilonGreedy
1.0,2.216780004810519,EpsilonGreedy
1.0,0.31335213970789333,EpsilonGreedy
3.0,4.35576573415245,EpsilonGreedy
3.0,3.4973171382464123,EpsilonGreedy
3.0,3.950228365059403,EpsilonGreedy
3.0,5.989079180868314,EpsilonGreedy
3.0,3.864312933176236,EpsilonGreedy
3.0,4.702786757763198,EpsilonGreedy
3.0,4.667269227475073,EpsilonGreedy
3.0,3.2019570960512738,EpsilonGreedy
3.0,2.9217494777201507,EpsilonGreedy
3.0,3.6701316612794463,EpsilonGreedy
3.0,3.8991077983708498,EpsilonGreedy
3.0,2.872123604334482,EpsilonGreedy
3.0,1.675358457445978,EpsilonGreedy
3.0,3.6107338883308624,EpsilonGreedy
1.0,1.8514547179167187,EpsilonGreedy
3.0,4.781261585008542,EpsilonGreedy
3.0,3.4876131356261517,EpsilonGreedy
3.0,2.673997781452866,EpsilonGreedy
3.0,3.5050701998635883,EpsilonGreedy
3.0,4.604736333432559,EpsilonGreedy
3.0,4.796815882978403,EpsilonGreedy
3.0,4.213578280999016,EpsilonGreedy
3.0,2.657392791595592,EpsilonGreedy
3.0,4.529341292154086,EpsilonGreedy
3.0,3.8030435581077997,EpsilonGreedy
2.0,0.11410939729888536,EpsilonGreedy
3.0,4.202533683352957,EpsilonGreedy
3.0,3.414704526132978,EpsilonGreedy
3.0,4.012867690807167,EpsilonGreedy
3.0,4.5459670069837035,EpsilonGreedy
3.0,3.60484232812595,EpsilonGreedy
3.0,4.413309104922349,EpsilonGreedy
3.0,3.6755712909192733,EpsilonGreedy
3.0,3.2464040071134814,EpsilonGreedy
3.0,2.2232765407453097,EpsilonGreedy
3.0,5.121428284117709,EpsilonGreedy
3.0,2.8937996248028304,EpsilonGreedy
3.0,3.174669326831186,EpsilonGreedy
3.0,4.0670011030112185,EpsilonGreedy
3.0,3.9044227889069143,EpsilonGreedy
3.0,2.5387768343067423,EpsilonGreedy
3.0,3.9101772006129667,EpsilonGreedy
3.0,3.5587439621897254,EpsilonGreedy
3.0,4.599465658495519,EpsilonGreedy
3.0,5.47422428594453,EpsilonGreedy
3.0,3.00155715057218,EpsilonGreedy
3.0,4.398262096748707,EpsilonGreedy
3.0,2.766961492818635,EpsilonGreedy
3.0,3.295868053025913,EpsilonGreedy
3.0,3.446176408919712,EpsilonGreedy
3.0,2.493484034528075,EpsilonGreedy
3.0,4.524881554688036,EpsilonGreedy
3.0,6.639915018171926,EpsilonGreedy
3.0,4.500959192927155,EpsilonGreedy
3.0,3.444081016960949,EpsilonGreedy
3.0,5.095363999237499,EpsilonGreedy
3.0,5.360147533048295,EpsilonGreedy
3.0,4.929575492628498,EpsilonGreedy
3.0,3.9380450609309885,EpsilonGreedy
3.0,4.241715771350487,EpsilonGreedy
3.0,5.581703709209378,EpsilonGreedy
3.0,2.525300462973342,EpsilonGreedy
3.0,4.375649812442874,EpsilonGreedy
3.0,2.5267119323659184,EpsilonGreedy
3.0,3.5552404885116964,EpsilonGreedy
3.0,4.557880101757945,EpsilonGreedy
3.0,3.9935195689012395,EpsilonGreedy
3.0,3.2811486256821283,EpsilonGreedy
3.0,5.899443387939071,EpsilonGreedy
3.0,3.8227002656291633,EpsilonGreedy
3.0,4.475620164560833,EpsilonGreedy
3.0,4.226047735662385,EpsilonGreedy
3.0,2.708826734047662,EpsilonGreedy
3.0,3.4237444712236837,EpsilonGreedy
3.0,5.028125676525631,EpsilonGreedy
3.0,1.8592795069258683,EpsilonGreedy
3.0,3.6467082216261133,EpsilonGreedy
3.0,4.5600025378867945,EpsilonGreedy
3.0,4.00282528479906,EpsilonGreedy
3.0,4.6973346067857165,EpsilonGreedy
3.0,3.6002510680010658,EpsilonGreedy
3.0,3.2619590479868075,EpsilonGreedy
3.0,3.147812162504284,EpsilonGreedy
3.0,3.48534133374426,EpsilonGreedy
3.0,5.316994199936195,EpsilonGreedy
3.0,3.170849172581869,EpsilonGreedy
3.0,3.0350221891194593,EpsilonGreedy
3.0,5.068439386541162,EpsilonGreedy
3.0,4.058732428981578,EpsilonGreedy
3.0,2.8556524122106186,EpsilonGreedy
3.0,4.9118332978688946,EpsilonGreedy
3.0,3.143760720706048,EpsilonGreedy
3.0,3.613681554335573,EpsilonGreedy
3.0,4.624753218167548,EpsilonGreedy
3.0,2.539589729719098,EpsilonGreedy
3.0,5.773430032654734,EpsilonGreedy
3.0,1.7476859808980159,EpsilonGreedy
3.0,2.9960177007055258,EpsilonGreedy
3.0,6.2728821328939315,EpsilonGreedy
3.0,5.214961969589311,EpsilonGreedy
3.0,3.847339448243894,EpsilonGreedy
3.0,3.961415801943641,EpsilonGreedy
3.0,4.550843680698427,EpsilonGreedy
3.0,3.2560031461034895,EpsilonGreedy
3.0,4.0104759690621,EpsilonGreedy
3.0,4.382284882754466,EpsilonGreedy
3.0,3.9368548884828964,EpsilonGreedy
3.0,4.0930520902091905,EpsilonGreedy
3.0,5.132253136708864,EpsilonGreedy
3.0,4.560338415033359,EpsilonGreedy
3.0,3.993862593861501,EpsilonGreedy
3.0,2.376603302163666,EpsilonGreedy
3.0,5.115772725678908,EpsilonGreedy
3.0,2.964374214771917,EpsilonGreedy
3.0,2.900651756172925,EpsilonGreedy
3.0,4.298099742242167,EpsilonGreedy
3.0,3.6057584870853527,EpsilonGreedy
3.0,3.845226197481449,EpsilonGreedy
3.0,3.5318283695042827,EpsilonGreedy
3.0,4.039423644841424,EpsilonGreedy
3.0,3.422302594749759,EpsilonGreedy
3.0,2.8223020513752464,EpsilonGreedy
3.0,3.3988472221286066,EpsilonGreedy
3.0,2.740714361148213,EpsilonGreedy
3.0,3.3482294627197144,EpsilonGreedy
3.0,4.104974996597972,EpsilonGreedy
3.0,4.8548426361817825,EpsilonGreedy
3.0,4.541382294989447,EpsilonGreedy
3.0,4.282524563163602,EpsilonGreedy
3.0,4.358824585642179,EpsilonGreedy
3.0,2.3719841791336647,EpsilonGreedy
3.0,3.7809892706886057,EpsilonGreedy
3.0,4.238573107179977,EpsilonGreedy
3.0,3.6475303519568785,EpsilonGreedy
3.0,3.287727645424798,EpsilonGreedy
3.0,5.686367155252137,EpsilonGreedy
3.0,4.0786224623219445,EpsilonGreedy
3.0,4.447927528951735,EpsilonGreedy
3.0,3.6524813003147596,EpsilonGreedy
3.0,4.186242061204785,EpsilonGreedy
3.0,5.136713321802226,EpsilonGreedy
3.0,2.286276464946991,EpsilonGreedy
3.0,1.8961998002885578,EpsilonGreedy
3.0,2.750445294837176,EpsilonGreedy
3.0,4.112659863569835,EpsilonGreedy
3.0,3.305931604944969,EpsilonGreedy
3.0,1.4420108378991365,EpsilonGreedy
3.0,2.572015415848128,EpsilonGreedy
3.0,2.8107592390852387,EpsilonGreedy
3.0,3.8360019177363514,EpsilonGreedy
3.0,2.3496068224005686,EpsilonGreedy
3.0,3.3981868862086437,EpsilonGreedy
3.0,5.895212765134191,EpsilonGreedy
3.0,4.353515617552155,EpsilonGreedy
3.0,4.10665590016419,EpsilonGreedy
3.0,2.0892269100816745,EpsilonGreedy
3.0,4.261976255969758,EpsilonGreedy
3.0,6.380292641179356,EpsilonGreedy
3.0,4.1484614902972625,EpsilonGreedy
3.0,3.2411213972907826,EpsilonGreedy
3.0,4.179049290122357,EpsilonGreedy
3.0,4.085936820398809,EpsilonGreedy
3.0,4.450106423644,EpsilonGreedy
3.0,2.6551723989671707,EpsilonGreedy
3.0,4.153107486516518,EpsilonGreedy
3.0,3.9928473222527097,EpsilonGreedy
3.0,3.454384964161764,EpsilonGreedy
3.0,4.5942977735583295,EpsilonGreedy
3.0,5.504936035424969,EpsilonGreedy
3.0,3.027588478574941,EpsilonGreedy
3.0,4.119382051670298,EpsilonGreedy
3.0,4.6337614888329846,EpsilonGreedy
3.0,3.1153899747554696,EpsilonGreedy
3.0,4.452195920317906,EpsilonGreedy
3.0,4.891055245312753,EpsilonGreedy
3.0,3.17817429309247,EpsilonGreedy
3.0,1.729584867535125,EpsilonGreedy
3.0,3.942063047514989,EpsilonGreedy
3.0,2.2706503941674496,EpsilonGreedy
3.0,5.551838860743219,EpsilonGreedy
3.0,4.156330381491005,EpsilonGreedy
3.0,3.273998358986372,EpsilonGreedy
3.0,3.657669218330493,EpsilonGreedy
3.0,5.180902682870022,EpsilonGreedy
3.0,5.435771107202245,EpsilonGreedy
3.0,5.261897523260846,EpsilonGreedy
3.0,2.0382608130569166,EpsilonGreedy
3.0,4.598423671248231,EpsilonGreedy
3.0,2.578552672471985,EpsilonGreedy
3.0,3.840526879483631,EpsilonGreedy
3.0,4.202023582446946,EpsilonGreedy
3.0,3.9495733613287416,EpsilonGreedy
3.0,2.8885746009618183,EpsilonGreedy
3.0,4.138386862655991,EpsilonGreedy
3.0,3.7975708940135506,EpsilonGreedy
3.0,4.343223276282396,EpsilonGreedy
3.0,3.706242110852809,EpsilonGreedy
3.0,3.6268696062897847,EpsilonGreedy
3.0,3.6650254184024695,EpsilonGreedy
3.0,4.690030539160781,EpsilonGreedy
3.0,4.378978680724678,EpsilonGreedy
3.0,4.656151839324268,EpsilonGreedy
3.0,4.544841597315166,EpsilonGreedy
3.0,3.6101104334971805,EpsilonGreedy
3.0,4.751047895134107,EpsilonGreedy
3.0,4.526824137773837,EpsilonGreedy
3.0,3.119042386953976,EpsilonGreedy
3.0,2.917969863668607,EpsilonGreedy
3.0,4.130342433554654,EpsilonGreedy
3.0,4.643005780722511,EpsilonGreedy
3.0,3.959484276461376,EpsilonGreedy
3.0,3.879127624815489,EpsilonGreedy
3.0,3.702803591671448,EpsilonGreedy
3.0,4.971110475161073,EpsilonGreedy
3.0,4.5892121831337125,EpsilonGreedy
1.0,3.9291589962020055,EpsilonGreedy
3.0,4.812758393771503,EpsilonGreedy
3.0,3.2714553290581203,EpsilonGreedy
3.0,4.127669102472497,EpsilonGreedy
3.0,3.410742786942786,EpsilonGreedy
3.0,4.504033035816907,EpsilonGreedy
3.0,4.265795697548546,EpsilonGreedy
3.0,3.1915909717871203,EpsilonGreedy
3.0,3.8905457101753513,EpsilonGreedy
3.0,5.303338263474259,EpsilonGreedy
3.0,4.358067092299871,EpsilonGreedy
3.0,3.004873804680755,EpsilonGreedy
3.0,4.675812387048591,EpsilonGreedy
3.0,3.4732127786607165,EpsilonGreedy
3.0,3.46626859981317,EpsilonGreedy
3.0,5.03555322265624,EpsilonGreedy
3.0,4.027687672039663,EpsilonGreedy
3.0,3.8184440981038943,EpsilonGreedy
3.0,4.816114523896196,EpsilonGreedy
3.0,5.810246002280207,EpsilonGreedy
3.0,3.906702254457708,EpsilonGreedy
3.0,4.996641398772041,EpsilonGreedy
3.0,4.6916754982291735,EpsilonGreedy
3.0,1.4692737961656936,EpsilonGreedy
3.0,3.1083882075216582,EpsilonGreedy
3.0,3.3919950471560525,EpsilonGreedy
3.0,1.928343961381259,EpsilonGreedy
