Bandit,Reward,Algorithm
0.0,1.4683384652851683,ThompsonSampling
0.0,1.0302261869399467,ThompsonSampling
0.0,0.16907791532856142,ThompsonSampling
1.0,2.7277119670908725,ThompsonSampling
0.0,-0.050313189105360534,ThompsonSampling
1.0,0.7810440903887736,ThompsonSampling
3.0,4.416306924167541,ThompsonSampling
3.0,2.2546698555665854,ThompsonSampling
3.0,4.055567523477077,ThompsonSampling
3.0,3.9967505799726863,ThompsonSampling
3.0,4.492090263495591,ThompsonSampling
3.0,1.4442291312367646,ThompsonSampling
3.0,4.618800608294853,ThompsonSampling
3.0,3.788618928310141,ThompsonSampling
3.0,1.5479169817287826,ThompsonSampling
3.0,5.697488149700438,ThompsonSampling
3.0,4.036108526464476,ThompsonSampling
3.0,4.108551940882528,ThompsonSampling
3.0,5.569429101681699,ThompsonSampling
3.0,4.249291171007537,ThompsonSampling
3.0,5.059790963132743,ThompsonSampling
3.0,5.600222142988231,ThompsonSampling
3.0,4.1618561511939,ThompsonSampling
3.0,2.4893046594901778,ThompsonSampling
3.0,5.677414163209864,ThompsonSampling
3.0,2.014840990145685,ThompsonSampling
3.0,5.5663868759041755,ThompsonSampling
3.0,4.101106731520734,ThompsonSampling
3.0,3.8241163822080897,ThompsonSampling
3.0,3.453384473572978,ThompsonSampling
3.0,3.8803766713416366,ThompsonSampling
3.0,7.2659124913454995,ThompsonSampling
3.0,3.98950353412446,ThompsonSampling
3.0,5.774114917773514,ThompsonSampling
3.0,6.057192875758256,ThompsonSampling
3.0,5.293587394719863,ThompsonSampling
3.0,5.533656618820799,ThompsonSampling
3.0,4.2958732060681895,ThompsonSampling
3.0,4.849013409887751,ThompsonSampling
3.0,1.5456071037373875,ThompsonSampling
3.0,4.850487341630448,ThompsonSampling
3.0,5.875749451061357,ThompsonSampling
3.0,5.733842163141154,ThompsonSampling
3.0,4.0705467490486145,ThompsonSampling
3.0,4.761500603348799,ThompsonSampling
3.0,2.797157956275079,ThompsonSampling
3.0,3.364984469476654,ThompsonSampling
3.0,2.565506455031773,ThompsonSampling
3.0,3.239108249623,ThompsonSampling
3.0,4.216953740823331,ThompsonSampling
3.0,5.39280515156304,ThompsonSampling
3.0,3.5172582635682073,ThompsonSampling
3.0,4.363902039672655,ThompsonSampling
3.0,3.833890130694683,ThompsonSampling
3.0,2.8346106522511576,ThompsonSampling
3.0,4.008010686558989,ThompsonSampling
3.0,4.557965024285143,ThompsonSampling
3.0,3.01847423286923,ThompsonSampling
3.0,3.348955181940113,ThompsonSampling
3.0,5.945003850722952,ThompsonSampling
3.0,4.43836911226684,ThompsonSampling
3.0,3.9688979154701025,ThompsonSampling
3.0,3.9610347808791446,ThompsonSampling
3.0,3.451764941482492,ThompsonSampling
3.0,3.195703574251935,ThompsonSampling
3.0,3.3085784493860464,ThompsonSampling
3.0,3.3739698532202884,ThompsonSampling
3.0,4.25182228735196,ThompsonSampling
3.0,5.035144520302648,ThompsonSampling
3.0,6.059072786194889,ThompsonSampling
3.0,4.1884642502931895,ThompsonSampling
3.0,5.463611941188243,ThompsonSampling
3.0,4.260439266957013,ThompsonSampling
3.0,4.826445253330225,ThompsonSampling
3.0,4.5388012989615785,ThompsonSampling
3.0,3.649806241358359,ThompsonSampling
3.0,5.2887473138205685,ThompsonSampling
3.0,4.515943337056602,ThompsonSampling
3.0,5.109781314642747,ThompsonSampling
3.0,4.531112499501978,ThompsonSampling
3.0,3.6524079605238424,ThompsonSampling
3.0,4.627048924873083,ThompsonSampling
3.0,3.9469082990202344,ThompsonSampling
3.0,4.297899133078769,ThompsonSampling
3.0,3.5664487602779817,ThompsonSampling
3.0,5.294925157994378,ThompsonSampling
3.0,2.71644752101624,ThompsonSampling
3.0,3.228545524149279,ThompsonSampling
3.0,3.8320225821602976,ThompsonSampling
3.0,3.6324802059635637,ThompsonSampling
3.0,5.537812269466278,ThompsonSampling
3.0,5.856714070512439,ThompsonSampling
3.0,2.2448852482870416,ThompsonSampling
3.0,3.1008722135069147,ThompsonSampling
3.0,2.3912573972128746,ThompsonSampling
3.0,4.469909499617942,ThompsonSampling
3.0,2.8647989985327644,ThompsonSampling
3.0,3.000223146126861,ThompsonSampling
3.0,3.998953163950096,ThompsonSampling
3.0,4.460587895705814,ThompsonSampling
3.0,4.988221362001522,ThompsonSampling
3.0,4.4283532376371255,ThompsonSampling
3.0,4.07916623999715,ThompsonSampling
3.0,5.210401413455691,ThompsonSampling
3.0,4.264972175425086,ThompsonSampling
3.0,2.3461488420484944,ThompsonSampling
3.0,4.645277514038651,ThompsonSampling
3.0,4.775102252311375,ThompsonSampling
3.0,4.442693014359775,ThompsonSampling
3.0,6.176266262924317,ThompsonSampling
3.0,5.270162735400284,ThompsonSampling
3.0,3.940796225564974,ThompsonSampling
3.0,5.179854818822294,ThompsonSampling
3.0,4.5828277248269496,ThompsonSampling
3.0,4.818153201126804,ThompsonSampling
3.0,5.775166586174017,ThompsonSampling
3.0,4.455067633840901,ThompsonSampling
3.0,4.761300214533918,ThompsonSampling
3.0,2.493006288601059,ThompsonSampling
3.0,4.4189931241003375,ThompsonSampling
3.0,3.3796346501022696,ThompsonSampling
3.0,4.068277132403409,ThompsonSampling
3.0,1.263003927080999,ThompsonSampling
3.0,3.556229913253538,ThompsonSampling
3.0,5.255895165366375,ThompsonSampling
3.0,1.987110406593378,ThompsonSampling
3.0,5.321093174846484,ThompsonSampling
3.0,3.959473864765326,ThompsonSampling
3.0,4.5710235490123,ThompsonSampling
3.0,2.1108095858243088,ThompsonSampling
3.0,6.129892756933323,ThompsonSampling
3.0,4.293777173655772,ThompsonSampling
3.0,4.1341099548233435,ThompsonSampling
3.0,3.5679051960231902,ThompsonSampling
3.0,3.3309632790320953,ThompsonSampling
3.0,2.1646740833568257,ThompsonSampling
3.0,4.421214867541469,ThompsonSampling
3.0,3.3201814463387525,ThompsonSampling
3.0,4.357215046609838,ThompsonSampling
3.0,3.1494289764153516,ThompsonSampling
3.0,5.0467142638271625,ThompsonSampling
3.0,7.0546611237939425,ThompsonSampling
3.0,3.69283893561466,ThompsonSampling
3.0,2.1472071230282967,ThompsonSampling
3.0,2.8557050900838616,ThompsonSampling
3.0,4.7582149473164765,ThompsonSampling
3.0,3.7575476368469674,ThompsonSampling
3.0,3.96549787671065,ThompsonSampling
3.0,4.665434306793129,ThompsonSampling
3.0,3.4831146233011023,ThompsonSampling
3.0,4.785661914161542,ThompsonSampling
3.0,5.945210591904529,ThompsonSampling
3.0,4.179022891643814,ThompsonSampling
3.0,3.4703883145934458,ThompsonSampling
3.0,2.5750665685598486,ThompsonSampling
3.0,3.899745932859667,ThompsonSampling
3.0,3.7174734768239137,ThompsonSampling
3.0,2.4286091013404123,ThompsonSampling
3.0,3.8433546873013427,ThompsonSampling
3.0,4.005387309353914,ThompsonSampling
3.0,5.471474606382964,ThompsonSampling
3.0,4.8043741546664585,ThompsonSampling
3.0,4.65947318653353,ThompsonSampling
3.0,4.4697246250524225,ThompsonSampling
3.0,3.9347334374588256,ThompsonSampling
3.0,4.200290493187905,ThompsonSampling
3.0,3.4662173939542846,ThompsonSampling
3.0,3.5477226240509068,ThompsonSampling
3.0,3.2340786122163294,ThompsonSampling
3.0,3.6346033138444858,ThompsonSampling
3.0,4.260248749598982,ThompsonSampling
3.0,3.0567376333049197,ThompsonSampling
3.0,3.2499639877358564,ThompsonSampling
3.0,5.655767623311803,ThompsonSampling
3.0,2.4532057132786154,ThompsonSampling
3.0,4.151743645250293,ThompsonSampling
3.0,3.992490234866864,ThompsonSampling
3.0,5.397917498508358,ThompsonSampling
3.0,3.5763736529997407,ThompsonSampling
3.0,4.100043119229009,ThompsonSampling
3.0,3.1939861310062514,ThompsonSampling
3.0,2.9552881170831533,ThompsonSampling
3.0,5.102342186752054,ThompsonSampling
3.0,4.183234315695747,ThompsonSampling
3.0,4.311282268145526,ThompsonSampling
3.0,4.409099943270515,ThompsonSampling
3.0,3.522858585192615,ThompsonSampling
3.0,5.244396231623488,ThompsonSampling
3.0,4.910111193821949,ThompsonSampling
3.0,3.52794214878261,ThompsonSampling
3.0,3.7512619866638377,ThompsonSampling
3.0,3.9156366554081563,ThompsonSampling
3.0,6.011752891006646,ThompsonSampling
3.0,4.271996613633893,ThompsonSampling
3.0,2.9278950344074937,ThompsonSampling
3.0,4.5907086552198395,ThompsonSampling
3.0,2.6564492506333117,ThompsonSampling
3.0,3.758354774244949,ThompsonSampling
3.0,4.45438621948448,ThompsonSampling
3.0,4.928661452454283,ThompsonSampling
3.0,2.940050509699594,ThompsonSampling
3.0,3.7907708398561843,ThompsonSampling
3.0,3.6858468907764523,ThompsonSampling
3.0,3.192951691700479,ThompsonSampling
3.0,4.55963343127591,ThompsonSampling
3.0,3.392958589938716,ThompsonSampling
3.0,2.080435155628643,ThompsonSampling
3.0,4.550440644028379,ThompsonSampling
3.0,3.6859974167982292,ThompsonSampling
3.0,5.2710729879367495,ThompsonSampling
3.0,4.70204675382747,ThompsonSampling
3.0,3.8391496745589335,ThompsonSampling
3.0,1.7157572606921399,ThompsonSampling
3.0,4.8448058767058955,ThompsonSampling
3.0,2.3123778163488082,ThompsonSampling
3.0,3.6866389664828563,ThompsonSampling
3.0,4.273771991649718,ThompsonSampling
3.0,3.2026141053489807,ThompsonSampling
3.0,4.330868737455979,ThompsonSampling
3.0,2.554050465718147,ThompsonSampling
3.0,2.1611361628446657,ThompsonSampling
3.0,4.643374710125357,ThompsonSampling
3.0,5.045677673173828,ThompsonSampling
3.0,3.1073888070243525,ThompsonSampling
3.0,4.039885300377735,ThompsonSampling
3.0,3.6592398359467575,ThompsonSampling
3.0,5.086929613753267,ThompsonSampling
3.0,3.1658958408835356,ThompsonSampling
3.0,4.889540604477698,ThompsonSampling
3.0,4.298523918590213,ThompsonSampling
3.0,3.703262396883286,ThompsonSampling
3.0,2.7017824356985845,ThompsonSampling
3.0,3.6922134567326403,ThompsonSampling
3.0,4.898363260785565,ThompsonSampling
3.0,2.2907885151016885,ThompsonSampling
3.0,3.773614854088388,ThompsonSampling
3.0,3.4714125578593764,ThompsonSampling
3.0,3.51248759169489,ThompsonSampling
3.0,4.822823537078665,ThompsonSampling
3.0,4.791692711507891,ThompsonSampling
3.0,4.782815023199738,ThompsonSampling
3.0,5.544670789999168,ThompsonSampling
3.0,4.439679900772972,ThompsonSampling
3.0,3.9644499124363164,ThompsonSampling
3.0,3.7891414749968564,ThompsonSampling
3.0,5.134107056214244,ThompsonSampling
3.0,6.720173934001279,ThompsonSampling
3.0,3.9202190813228404,ThompsonSampling
3.0,3.3638346054994632,ThompsonSampling
3.0,4.081759889064015,ThompsonSampling
3.0,4.166436666511565,ThompsonSampling
3.0,4.476700814585356,ThompsonSampling
3.0,4.096680756354729,ThompsonSampling
3.0,3.655177210560488,ThompsonSampling
3.0,3.7184363249530916,ThompsonSampling
3.0,4.230367843933487,ThompsonSampling
3.0,4.689103700200879,ThompsonSampling
3.0,5.065774644414971,ThompsonSampling
3.0,4.459146729111352,ThompsonSampling
3.0,4.348111185172565,ThompsonSampling
3.0,4.618698915533201,ThompsonSampling
3.0,2.262358900862737,ThompsonSampling
3.0,3.377006796595489,ThompsonSampling
3.0,4.013535971836986,ThompsonSampling
3.0,2.950567062331621,ThompsonSampling
3.0,2.5141899937952505,ThompsonSampling
3.0,3.8193324842355967,ThompsonSampling
3.0,3.5738306520481204,ThompsonSampling
3.0,2.117142052532967,ThompsonSampling
3.0,3.649054972483178,ThompsonSampling
3.0,5.342333185019449,ThompsonSampling
3.0,5.6620405695652956,ThompsonSampling
3.0,5.2149854408151075,ThompsonSampling
3.0,3.541724830292759,ThompsonSampling
3.0,2.173662954822179,ThompsonSampling
3.0,3.657681236378876,ThompsonSampling
3.0,3.673583442115128,ThompsonSampling
3.0,3.289258908296492,ThompsonSampling
3.0,5.3847402098508,ThompsonSampling
3.0,4.749336670863436,ThompsonSampling
3.0,4.273272277882179,ThompsonSampling
3.0,3.597575964814777,ThompsonSampling
3.0,2.6619854773194325,ThompsonSampling
